"TOA5","","CR5000","2079","2.1","CPU:06JUN07F.CR5","24070","flux"
"TIMESTAMP","RECORD","Hs","Fc_wpl","LE_wpl","Hc","tau","u_star","Ts_mean","stdev_Ts","cov_Ts_Ux","cov_Ts_Uy","cov_Ts_Uz","co2_mean","stdev_co2","cov_co2_Ux","cov_co2_Uy","cov_co2_Uz","h2o_Avg","stdev_h2o","cov_h2o_Ux","cov_h2o_Uy","cov_h2o_Uz","Ux_Avg","stdev_Ux","cov_Ux_Uy","cov_Ux_Uz","Uy_Avg","stdev_Uy","cov_Uy_Uz","Uz_Avg","stdev_Uz","press_mean","t_hmp_mean","h2o_hmp_mean","rho_a_mean","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","std_wnd_dir","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","panel_temp_Avg","batt_volt_Avg","shf_Avg(1)","shf_Avg(2)","shf_Avg(3)","shf_Avg(4)","del_Tsoil(1)","del_Tsoil(2)","soil_water_T_Avg(1)","soil_water_T_Avg(2)","soil_water_T_Avg(3)","soil_water_T_Avg(4)","soil_water_T_Avg(5)","Tsoil_avg(1)","Tsoil_avg(2)","cs616_wcr_Avg(1)","cs616_wcr_Avg(2)","cs616_wcr_Avg(3)","cs616_wcr_Avg(4)","cs616_wcr_Avg(5)"
"TS","RN","W/m^2","mg/(m^2 s)","W/m^2","W/m^2","kg/(m s^2)","m/s","C","C","m C/s","m C/s","m C/s","mg/m^3","mg/m^3","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/m^3","g/m^3","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","m/s","m/s","(m/s)^2","(m/s)^2","m/s","m/s","(m/s)^2","m/s","m/s","kPa","C","g/m^3","kg/m^3","degrees","degrees","m/s","m/s","degrees","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","C","V","W/m^2","W/m^2","W/m^2","W/m^2","C","C","frac_v_wtr","frac_v_wtr","frac_v_wtr","frac_v_wtr","frac_v_wtr","C","C","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg"
"2007-12-01 00:00:00",6673,-34.81824,0.07239233,6.930536,-35.15961,0.02329301,0.1345028,2.415381,0.2440407,0.0183704,0.01085417,-0.02691661,783.2289,1.874818,-0.1459769,-0.1219047,0.146997,5.411945,0.03789583,-0.002647494,-0.0006683741,0.003079893,0.8569634,0.5310385,0.0363493,-0.01463316,-0.2725798,0.4405101,0.01063743,-0.003688,0.3152342,101.6755,1.957428,2.540119,1.287547,17.64463,-17.64462,1.020548,0.8992697,27.92289,0.146997,7.514938,0.003024436,-0.07762916,0.02393313,-0.608335,3000,0,0,0,0,0,0,0,0,0,0,56,-0.2140909,12.15269,-8.296638,-10.56196,-15.30307,-13.66875,-0.01858664,-0.02122021,0.3269732,0.4042239,0.3103102,0.3034577,0.3236845,6.056733,5.662573,28.6261,30.81401,28.12762,27.91955,28.52854
"2007-12-01 00:05:00",6674,-38.08997,0.008761253,5.936,-38.35387,0.05239833,0.2016948,2.417168,0.2452464,0.04559123,-0.02030442,-0.02943467,784.6002,2.724308,-0.4999887,0.1686657,0.09093872,5.418435,0.03746001,-0.005420522,0.003107458,0.00269712,0.8521052,0.4614712,-0.002446536,-0.02736519,-0.1529208,0.3512471,0.03010105,0.04006367,0.2798912,101.6761,1.854407,2.541809,1.288036,10.17413,-10.17413,0.9396957,0.8657182,22.72695,0.09093872,6.580973,0.002652186,-0.08482966,0.02096468,-0.6659375,3000,0,0,0,0,0,0,0,0,0,0,56,-0.1922375,12.14925,-8.502928,-10.77753,-15.45456,-13.85482,-0.01877069,-0.02124548,0.3269457,0.4042214,0.3103036,0.3033725,0.3236509,6.037962,5.641327,28.62529,30.81394,28.12742,27.91695,28.52754
"2007-12-01 00:10:00",6675,-33.44729,0.03584544,5.338315,-33.68973,0.065389,0.2252994,2.352669,0.2495624,0.05129697,-0.002406423,-0.02584359,784.2223,2.138376,-0.4238701,-0.003610747,0.1079452,5.429233,0.04251421,-0.007065974,0.0006207335,0.002420397,0.9404805,0.5201436,0.0284586,-0.05048914,-0.07699984,0.4349381,0.005235107,0.003438417,0.3077067,101.6764,1.818634,2.548513,1.288204,4.68053,-4.680542,1.048082,0.9436273,25.57117,0.1079452,5.905769,0.002378629,-0.0744784,0.01886098,-0.5863154,3000,0,0,0,0,0,0,0,0,0,0,56,-0.1906463,12.146,-8.708405,-10.98912,-15.59726,-14.0363,-0.02101564,-0.02270746,0.3269202,0.404219,0.3103036,0.3032334,0.3236801,6.016947,5.61862,28.62453,30.81388,28.12742,27.91271,28.52841
"2007-12-01 00:15:00",6676,-17.02178,0.03035512,5.522418,-17.30713,0.03666419,0.1686874,2.282461,0.265458,0.01889916,-0.007453021,-0.01314936,784.4948,2.167634,0.1359672,0.139648,0.06629269,5.438895,0.04681403,0.0001398142,0.002849371,0.002378504,0.9961469,0.4714254,0.0645615,0.013679,0.004887667,0.3370416,0.02495188,0.06171825,0.2407845,101.6759,1.757328,2.560095,1.288478,359.7189,0.2811236,1.069938,0.996159,21.27021,0.06629269,5.803551,0.002337795,-0.03827536,0.01861497,-0.2997471,3000,0,0,0,0,0,0,0,0,0,0,56,-0.2054719,12.1434,-8.908543,-11.19758,-15.72641,-14.21049,-0.02060795,-0.0225563,0.3268944,0.4042166,0.3103656,0.3031465,0.3237907,5.996339,5.596064,28.62377,30.81381,28.1293,27.91006,28.53169
"2007-12-01 00:20:00",6677,-14.23454,-0.04387238,1.204482,-14.27872,0.01316448,0.1010644,2.145031,0.2340507,0.01855616,0.02233934,-0.0109929,788.1138,2.191056,0.01653532,-0.2209337,-0.01273385,5.437641,0.03360384,-0.001513439,-0.003888018,0.0005941723,0.7699591,0.3835079,0.01183635,-0.009214501,-0.1083212,0.3368036,0.00440669,0.04312517,0.1985403,101.6698,1.659126,2.552505,1.288866,8.00806,-8.008057,0.8557137,0.7775414,24.48201,-0.01273385,1.44978,0.0005865163,-0.03172505,0.004634977,-0.2499332,3000,0,0,0,0,0,0,0,0,0,0,56,-0.2377907,12.14006,-9.10021,-11.40257,-15.85573,-14.37544,-0.02228689,-0.02398205,0.3268704,0.4042072,0.3103738,0.3031529,0.3237601,5.974052,5.572082,28.62306,30.81355,28.12954,27.91025,28.53078
"2007-12-01 00:25:00",6678,-8.647628,-0.0007437469,2.093355,-8.751854,0.01793232,0.1179286,2.060075,0.2937823,0.02114336,0.006082102,-0.006675367,788.2269,3.7214,-0.03039768,0.1377968,0.01779858,5.447422,0.05676404,-0.0006990659,0.002182168,0.0009174368,0.9445195,0.3896389,0.06610005,0.01334111,-0.07842967,0.360108,0.003927309,0.01970033,0.2394002,101.6729,1.545933,2.561497,1.289432,4.746756,-4.746765,1.018247,0.9477701,21.30987,0.01779858,2.238546,0.0009053535,-0.01944768,0.007178779,-0.1523692,3000,0,0,0,0,0,0,0,0,0,0,56,-0.2863452,12.13685,-9.295607,-11.60539,-15.98176,-14.53156,-0.02072477,-0.02175808,0.3268278,0.4042045,0.3103848,0.3031568,0.3236545,5.953327,5.550323,28.6218,30.81348,28.12988,27.91037,28.52765
"2007-12-01 00:30:00",6679,-10.39586,-0.03696675,1.265722,-10.4586,0.002249982,0.04175854,1.594145,0.3279788,0.02301995,-0.001691122,-0.008019526,797.6823,5.534272,-0.2405425,0.01083906,-0.01403552,5.522721,0.05748764,-0.002108943,0.0004946829,0.0005932263,0.7792385,0.2692962,0.006624423,-0.001741225,-0.0006281667,0.1538254,9.428393E-005,0.02904533,0.1116512,101.6623,1.328426,2.607169,1.290293,0.04618777,-0.0461731,0.7967141,0.7792387,11.99631,-0.01403552,1.447472,0.0005920604,-0.02352328,0.004721665,-0.1864721,3000,0,0,0,0,0,0,0,0,0,0,56,-0.3476142,12.13347,-9.483809,-11.80145,-16.10447,-14.67925,-0.02101612,-0.0228281,0.3268077,0.404197,0.3103747,0.303145,0.3236896,5.932311,5.527495,28.6212,30.81328,28.12957,27.91001,28.52869
"2007-12-01 00:35:00",6680,-5.854409,-0.006464187,0.7182608,-5.880712,0.01831567,0.1190909,1.803796,0.2236294,0.01961485,-0.0007053138,-0.004512257,793.1936,2.346756,-0.04480883,0.01165212,0.006353999,5.468014,0.02893803,-0.0006707513,4.506986E-005,0.0003357552,0.6715741,0.3186609,0.01078226,-0.01264014,-0.08094167,0.2311576,0.006432254,-0.01074858,0.1647677,101.6657,1.103644,2.572788,1.291415,6.872442,-6.872437,0.7287225,0.6764342,21.69733,0.006353999,0.8192428,0.0003329107,-0.0131511,0.002634769,-0.1036167,3000,0,0,0,0,0,0,0,0,0,0,56,-0.4236145,12.13046,-9.669171,-11.99174,-16.23014,-14.8247,-0.02146292,-0.02346182,0.3267916,0.4042026,0.3104035,0.3031146,0.3236543,5.910848,5.504034,28.62073,30.81343,28.13044,27.90908,28.52764
